Instance,Location,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%)
358,TEX,True,111,111,1.0,111,121283.0,329.5,7.62,2.95
359,TEX,True,111,111,1.0,111,97055.25,269.75,10.26,2.18
360,TEX,True,97,97,1.0,97,93945.75,343.0,2.36,1.37
362,TEX,True,105,105,1.0,105,73620.75,262.25,7.14,5.07
363,TEX,True,94,94,1.0,94,83100.5,305.25,5.74,3.86
364,TEX,True,110,110,1.0,110,99615.25,348.75,2.66,1.9
365,TEX,True,113,113,1.0,113,84329.0,291.25,2.93,2.35
366,TEX,True,90,90,1.0,90,98045.0,285.25,4.89,3.47
367,TEX,True,102,102,1.0,102,112852.75,320.25,4.51,3.17
368,TEX,True,95,95,1.0,95,96603.25,280.5,5.36,3.28
369,TEX,True,105,105,1.0,105,102311.0,300.75,12.83,1.64
370,TEX,True,107,107,1.0,107,99747.0,298.75,3.85,1.89
371,TEX,True,118,118,1.0,118,97609.5,313.75,14.57,1.95
372,TEX,True,77,77,1.0,77,86058.0,295.5,4.98,4.14
373,TEX,True,131,131,1.0,131,113286.5,326.5,4.65,3.33
374,TEX,True,92,92,1.0,92,85044.25,288.75,4.92,3.43
375,TEX,True,103,103,1.0,103,92806.5,241.5,11.54,6.94
376,TEX,True,100,100,1.0,100,97587.75,258.5,12.2,5.4
377,TEX,True,101,101,1.0,101,114442.5,292.5,5.55,0.85
378,TEX,True,105,105,1.0,105,71922.0,258.25,5.6,3.64
379,TEX,True,111,111,1.0,111,99266.75,342.75,4.13,2.83
380,TEX,True,119,119,1.0,119,87143.5,293.75,4.71,3.21
381,TEX,True,85,85,1.0,85,72551.5,193.25,6.89,4.09
